feature,mutual_information,selected
OG0003858,0.07528647141446587,True
OG0004817,0.07527496368977138,True
OG0003924,0.07518379164778555,True
OG0000175,0.07517218174997087,True
OG0001906,0.07513081249806852,True
OG0003876,0.07511846872015404,True
OG0003736,0.07507301882791051,True
OG0000693,0.07506977547519345,True
OG0000632,0.0750377157399349,True
OG0005530,0.07503117077191934,True
OG0004129,0.07490061701781148,True
OG0003945,0.07489794708164066,True
OG0000354,0.07476413984057473,True
OG0004036,0.07476274740628153,True
OG0003705,0.07463669883950352,True
OG0003814,0.0745299123484191,True
OG0002059,0.07445082949282522,True
OG0001481,0.07430144458618138,True
OG0000427,0.0742580351862081,True
OG0001072,0.07423845894034287,True
OG0004767,0.07414258475768332,True
OG0003449,0.07409258362536608,True
OG0004077,0.07389564639597523,True
OG0002505,0.07380490087580238,True
OG0002899,0.07355995153663919,True
OG0000957,0.07335529784369843,True
OG0003999,0.07310836850905034,True
OG0002497,0.07302506864606695,True
OG0000020,0.0728516967136672,True
OG0000342,0.07272599714048766,True
OG0002395,0.0727161810229564,True
OG0000411,0.07254730487960348,True
OG0000732,0.07249560537799038,True
OG0004470,0.07236087809614666,True
OG0000179,0.07223738988127426,True
OG0003821,0.07216731722744463,True
OG0003653,0.07211458204586041,True
OG0001909,0.07210664956471202,True
OG0000769,0.0720076300796384,True
OG0004378,0.07192061786123549,True
OG0002083,0.07190150545381524,True
OG0003247,0.07188666177589997,True
OG0004201,0.07185308476975161,True
OG0003861,0.0716001025014723,True
OG0003783,0.07151901530613092,True
OG0000499,0.07148750135678483,True
OG0000601,0.07145254574497706,True
OG0003910,0.07140643216373466,True
OG0004481,0.07127402995391163,True
OG0003411,0.07126026118719331,True
OG0001524,0.07124596574717668,True
OG0003414,0.07123287392825972,True
OG0000332,0.07117100352990136,True
OG0004276,0.0711655086712879,True
OG0003812,0.07114919723545743,True
OG0005640,0.07092393669514596,True
OG0001763,0.07074657106425164,True
OG0005639,0.07067756238845213,True
OG0000712,0.07062650584957542,True
OG0004957,0.07029618246085212,True
OG0003772,0.07020419179783577,True
OG0000100,0.06982479099422978,True
OG0000166,0.06978125726704043,True
OG0004062,0.06954190070319477,True
OG0003735,0.06948562712663442,True
OG0000860,0.06928371671549272,True
OG0003949,0.06910372137447673,True
OG0003896,0.06893864184737719,True
OG0003305,0.06891553034530062,True
OG0005602,0.06856970970327447,True
OG0003848,0.06819325010966626,True
OG0001485,0.06819082082871653,True
OG0001374,0.06815371961343253,True
OG0003958,0.06814164736735773,True
OG0001747,0.06805227759760424,True
OG0001244,0.06760912962589938,True
OG0000288,0.06746487608267593,True
OG0004483,0.06734739392133493,True
OG0003754,0.06722513468230495,True
OG0003477,0.06718364047102998,True
OG0003296,0.06712796827734469,True
OG0000152,0.06691792596953317,True
OG0002982,0.06687379788888048,True
OG0003927,0.0668720949530126,True
OG0000855,0.0666538134610919,True
OG0003951,0.06658640059179532,True
OG0003957,0.06654933579008215,True
OG0004348,0.06642804462765284,True
OG0003593,0.06617349338062262,True
OG0003779,0.06613247094825425,True
OG0001099,0.06612157745369363,True
OG0003359,0.06611505158727837,True
OG0001782,0.06594934044502043,True
OG0000947,0.06589346907561477,True
OG0001253,0.06577421631572022,True
OG0003488,0.06564422328875619,True
OG0004250,0.06562455461815908,True
OG0004254,0.06541517624181559,True
OG0003375,0.06527224726698844,True
OG0003921,0.06501187728410063,True
OG0002051,0.06498701557503583,True
OG0004643,0.06485395120345316,True
OG0001061,0.0646947933215607,True
OG0000953,0.0640587359794198,True
OG0003800,0.06369555703087926,True
OG0001384,0.06359982491458549,True
OG0005947,0.06354942544625031,True
OG0000916,0.06339586250080842,True
OG0000404,0.06336202412335101,True
OG0003501,0.0632115797095727,True
OG0003017,0.06319631073826937,True
OG0004809,0.06312315191449613,True
OG0004153,0.06289056301616647,True
OG0000468,0.06242607685810331,True
OG0004313,0.062340524994004554,True
OG0004389,0.06229313152881444,True
OG0002432,0.06194907975242803,True
OG0001823,0.0615486041707749,True
OG0002359,0.06136142785430376,True
OG0002253,0.06111899106496743,True
OG0004184,0.06109989570457053,True
OG0004968,0.06093347258673987,True
OG0001886,0.06092290168272463,True
OG0000156,0.06048102822691703,True
OG0004366,0.060434378911595754,True
OG0003330,0.06042200252642882,True
OG0004644,0.0601850480993491,True
OG0003063,0.060097905637531035,True
OG0005291,0.060066200443011475,True
OG0004845,0.0600242396603865,True
OG0003802,0.06001915255946866,True
OG0003747,0.059854161023288555,True
OG0000778,0.059699004216051677,True
OG0004286,0.059629081120538885,True
OG0003678,0.059627498611399155,True
OG0003576,0.05951164132958997,True
OG0000677,0.059135842287728835,True
OG0000191,0.058740735792300214,True
OG0005974,0.05853999818340272,True
OG0001415,0.05844528851634756,True
OG0003159,0.05838651447215959,True
OG0003788,0.05820568528703873,True
OG0006105,0.05818208643456746,True
OG0003938,0.05806311577284351,True
OG0000638,0.05802953637124908,True
OG0000545,0.0576470657391841,True
OG0006124,0.0575906421950787,True
OG0006440,0.057391155669788585,True
OG0004275,0.05731555840299629,True
OG0003996,0.057165287237778806,True
OG0001882,0.05709994308832744,True
OG0004496,0.05664764356110563,True
OG0004311,0.056584378654485956,True
OG0005072,0.05648995644002852,True
OG0002427,0.05625796359252977,True
OG0000745,0.056177418354047326,True
OG0003696,0.055591189885734416,True
OG0003729,0.05525289958833479,True
OG0004090,0.05525183461929739,True
OG0004004,0.0551909415247227,True
OG0005206,0.055115209794137865,True
OG0003801,0.055045609980778565,True
OG0002249,0.054592570952126884,True
OG0004220,0.05458984590746763,True
OG0003493,0.05450020905708186,True
OG0000053,0.05434410207108176,True
OG0004187,0.054152969751839475,True
OG0004037,0.05413556376191497,True
OG0004134,0.05411237510932576,True
OG0005827,0.05332033342458997,True
OG0002076,0.053049465052496636,True
OG0005612,0.05274452687786191,True
OG0003588,0.052735674136575206,True
OG0006599,0.05247788389815211,True
OG0000976,0.052213059765077396,True
OG0000755,0.052134948736633824,True
OG0001811,0.05210826391571555,True
OG0004181,0.051853047652267836,True
OG0004924,0.0509785321009355,True
OG0004741,0.05081719747828828,True
OG0005828,0.05076323303986774,True
OG0005643,0.05076299748924251,True
OG0001813,0.05074501424433109,True
OG0004308,0.05054266455369927,True
OG0001458,0.05042130072039264,True
OG0000773,0.050357407299472356,True
OG0005604,0.050104171925275054,True
OG0005823,0.05009646165943682,True
OG0002430,0.050026318379574164,True
OG0003318,0.049994798882497804,True
OG0005590,0.049917254240470665,True
OG0004185,0.04916092322286225,True
OG0003401,0.0483120652004132,True
OG0005729,0.04807436276166266,True
OG0005338,0.04714837846240272,True
OG0006734,0.04611885793589643,True
OG0003693,0.04550931712380635,True
OG0002966,0.04520684032111699,True
OG0003599,0.04491947525045159,True
OG0004851,0.044718304138942955,True
OG0005523,0.04435198328915391,True
OG0004230,0.04381740410592894,True
OG0004046,0.043536969280966176,True
OG0004170,0.043044443483212014,True
OG0003773,0.04272922813640445,True
OG0005856,0.04272007810367606,True
OG0017753,0.042395551047239355,True
OG0004145,0.0414788150500085,True
OG0004999,0.04138449658337606,True
OG0003177,0.041306122266792755,True
OG0003664,0.04068808360291243,True
OG0004675,0.0398463989662039,True
OG0004713,0.0398102654563286,True
OG0003989,0.03957274260695698,True
OG0005057,0.039423808254720694,True
OG0004391,0.03818902883642128,True
OG0006076,0.03730507517843584,True
OG0004177,0.03650852901649149,True
OG0004300,0.036212990967380954,True
OG0004321,0.03577168387103846,True
OG0006086,0.035255116784388196,True
OG0006272,0.03499783145935087,True
OG0004131,0.03422319188948553,True
OG0006846,0.03353980058079031,True
OG0002842,0.03339619159498408,True
OG0004569,0.0316320661495455,True
OG0004219,0.03105664971326716,True
OG0005683,0.030225071290626015,True
OG0004136,0.03007138740542814,True
OG0005073,0.02958728946025202,True
OG0005670,0.02885214224457533,True
OG0005451,0.028279395424928744,True
OG0005671,0.02636011480412881,True
OG0005633,0.02605740335357387,True
OG0005992,0.02533267418989471,True
OG0004747,0.0249361019256944,True
OG0004436,0.024765511907290705,True
OG0006937,0.023373880972493044,True
OG0005574,0.022958787978026862,True
OG0006037,0.02123474079453702,True
OG0009986,0.020654847368463347,True
OG0007612,0.020212840148014166,True
OG0004539,0.01912760377016509,True
OG0006217,0.01870722475266451,True
OG0003423,0.0174420402251263,True
OG0045371,0.012822079285991883,True
OG0034598,0.008036223823812971,True
OG0009579,0.0023052891874861814,True
OG0006465,0.0007639858904684438,True
OG0036512,0.0,False
OG0031059,0.0,False
OG0025144,0.0,False
OG0022682,0.0,False
OG0034257,0.0,False
OG0051435,0.0,False
