Feature,Mean_Signed,Std_MeanAcrossFolds,Impact_Magnitude,Impact_Direction,Fold_Level_Impact,Sample_Level_Impact
OG0003802,-0.0022890884,0.0016688464,0.0022890884,Negative,0.002289087977260351,0.017086884006857872
OG0006252,0.0,0.0,0.0,Neutral,0.0,0.0
OG0026160,0.0,0.0,0.0,Neutral,0.0,0.0
OG0002976,-0.011191542,0.022001125,0.011191542,Negative,0.015557141043245792,0.04262777417898178
OG0030154,0.0,0.0,0.0,Neutral,0.0,0.0
OG0003922,-0.0014228624,0.00542456,0.0014228624,Negative,0.0038357425946742296,0.049672722816467285
OG0005933,0.0,0.0,0.0,Neutral,0.0,0.0
OG0005611,0.0,0.0,0.0,Neutral,0.0,0.0
OG0006223,0.0,0.0,0.0,Neutral,0.0,0.0
OG0004019,0.0089671295,0.01223404,0.0089671295,Positive,0.008967125788331032,0.07804977893829346
OG0006427,0.0,0.0,0.0,Neutral,0.0,0.0
OG0005997,0.0,0.0,0.0,Neutral,0.0,0.0
OG0005731,0.0,0.0,0.0,Neutral,0.0,0.0
OG0004445,0.0,0.0,0.0,Neutral,0.0,0.0
OG0007565,0.0,0.0,0.0,Neutral,0.0,0.0
OG0004043,0.0025748177,0.0036413423,0.0025748177,Positive,0.0025748114567250013,0.019823838025331497
OG0003656,0.0057450193,0.010986505,0.0057450193,Positive,0.007768617942929268,0.04642041027545929
OG0019858,0.0,0.0,0.0,Neutral,0.0,0.0
OG0006076,0.0,0.0,0.0,Neutral,0.0,0.0
OG0002023,-0.0055883396,0.007903106,0.0055883396,Negative,0.005588335916399956,0.044070370495319366
OG0014302,0.0,0.0,0.0,Neutral,0.0,0.0
OG0003478,-0.0108035905,0.0011543297,0.0108035905,Negative,0.010803598910570145,0.05501478537917137
OG0005780,0.0,0.0,0.0,Neutral,0.0,0.0
OG0007310,0.0,0.0,0.0,Neutral,0.0,0.0
OG0000900,-0.011683405,0.009832502,0.011683405,Negative,0.01168340165168047,0.07159136980772018
OG0005650,0.0,0.0,0.0,Neutral,0.0,0.0
OG0002311,-0.009551816,0.004979365,0.009551816,Negative,0.009551816619932652,0.10129343718290329
OG0004247,-0.009556666,0.0047919895,0.009556666,Negative,0.009556668810546398,0.03799928352236748
OG0004557,0.0038239006,0.0007829223,0.0038239006,Positive,0.0038239003624767065,0.050743669271469116
OG0005384,0.0,0.0,0.0,Neutral,0.0,0.0
OG0016201,0.0,0.0,0.0,Neutral,0.0,0.0
OG0005776,0.0,0.0,0.0,Neutral,0.0,0.0
OG0040316,0.0,0.0,0.0,Neutral,0.0,0.0
OG0017213,0.0,0.0,0.0,Neutral,0.0,0.0
OG0003761,0.0048386985,0.0062182983,0.0048386985,Positive,0.004838704131543636,0.0228956937789917
OG0004170,0.0023575104,0.018260777,0.0023575104,Positive,0.012912311591207981,0.04216482490301132
OG0004300,-0.0019262388,0.0029405097,0.0019262388,Negative,0.0020792544819414616,0.037746611982584
OG0004408,0.010669599,0.015089092,0.010669599,Positive,0.01066957414150238,0.04176228493452072
OG0003785,-0.007310543,0.021310614,0.007310543,Negative,0.01506887748837471,0.039339710026979446
